ID	HG2
MSTRG.5810	0
MSTRG.5918	0
MSTRG.20438	1261
MSTRG.19848	1883
MSTRG.19849	27
MSTRG.19846	0
MSTRG.19847	107
MSTRG.19844	0
MSTRG.19845	605
MSTRG.19842	912
MSTRG.19843	0
MSTRG.19840	0
MSTRG.19841	44
MSTRG.15172	0
MSTRG.15173	28
MSTRG.15170	23
MSTRG.15171	0
MSTRG.15176	233
MSTRG.15177	1309
MSTRG.18312	0
MSTRG.15175	0
MSTRG.15178	32998
MSTRG.15179	9277
MSTRG.10522	11
MSTRG.10523	14
MSTRG.10520	0
MSTRG.10521	43
MSTRG.37305	4379
MSTRG.10527	65
MSTRG.37307	165
MSTRG.37306	76
MSTRG.37309	56
MSTRG.37308	1181
MSTRG.10528	279
MSTRG.10529	35
MSTRG.20435	1576
MSTRG.5660	0
MSTRG.5661	0
MSTRG.5662	196
MSTRG.5663	20
MSTRG.5664	0
MSTRG.5665	0
MSTRG.5666	4627
MSTRG.5667	331
MSTRG.5668	16
MSTRG.5669	371
MSTRG.38304	0
MSTRG.38305	0
MSTRG.38306	153
MSTRG.38307	1839
MSTRG.38300	0
MSTRG.38301	0
MSTRG.38302	6
MSTRG.38303	56
MSTRG.38308	0
MSTRG.38309	69
MSTRG.3848	975
MSTRG.3849	69
MSTRG.3842	1737
MSTRG.3843	253
MSTRG.3840	4
MSTRG.3841	314
MSTRG.3846	4
MSTRG.3847	48
MSTRG.3844	6
MSTRG.3845	257
MSTRG.18719	0
MSTRG.18718	0
MSTRG.18715	48
MSTRG.18714	347
MSTRG.18717	170
MSTRG.18716	1023
MSTRG.18711	143
MSTRG.18710	841
MSTRG.18713	3
MSTRG.18712	316
MSTRG.28936	0
MSTRG.6310	942
MSTRG.28934	199
MSTRG.28935	0
MSTRG.28932	9539
MSTRG.28933	0
MSTRG.28930	132
MSTRG.28931	23
MSTRG.6319	0
MSTRG.6318	0
MSTRG.28938	0
MSTRG.28939	0
MSTRG.33374	108
MSTRG.33375	61
MSTRG.33376	7
MSTRG.33377	163
MSTRG.33370	0
MSTRG.33371	392
MSTRG.33372	14
MSTRG.30938	45
MSTRG.30937	318
MSTRG.30936	2473
MSTRG.30935	0
MSTRG.30934	0
MSTRG.33378	75
MSTRG.33379	14
MSTRG.30931	0
MSTRG.30930	133
MSTRG.35439	641
MSTRG.35438	0
MSTRG.32429	0
MSTRG.32428	1
MSTRG.35431	0
MSTRG.35430	15
MSTRG.35433	155
MSTRG.35432	683
MSTRG.35435	0
MSTRG.35434	0
MSTRG.35437	332
MSTRG.35436	0
MSTRG.12877	546
MSTRG.2701	0
MSTRG.208	36
MSTRG.209	7
MSTRG.204	20
MSTRG.205	58
MSTRG.206	2
MSTRG.207	7
MSTRG.200	672
MSTRG.201	12202
MSTRG.202	0
MSTRG.203	280
MSTRG.9992	0
MSTRG.9993	6
MSTRG.9990	0
MSTRG.9991	0
MSTRG.9996	0
MSTRG.9997	1
MSTRG.9994	0
MSTRG.9995	116
MSTRG.9998	0
MSTRG.9999	2
MSTRG.34748	0
MSTRG.34749	0
MSTRG.11399	651
MSTRG.8734	491
MSTRG.34740	0
MSTRG.34741	1796
MSTRG.34742	0
MSTRG.34743	0
MSTRG.34744	0
MSTRG.34745	4
MSTRG.34746	3606
MSTRG.34747	0
MSTRG.23426	363
MSTRG.26938	92
MSTRG.26939	125
MSTRG.26934	133
MSTRG.26935	13
MSTRG.26936	210
MSTRG.26937	1
MSTRG.26930	465
MSTRG.26931	33
MSTRG.26932	14
MSTRG.26933	2
MSTRG.12339	13
MSTRG.18217	0
MSTRG.35939	268
MSTRG.32265	1
MSTRG.8738	1358
MSTRG.36427	0
MSTRG.36426	776
MSTRG.36425	0
MSTRG.36424	0
MSTRG.36423	310
MSTRG.36422	6
MSTRG.36421	1083
MSTRG.36420	36
MSTRG.12337	3
MSTRG.36429	326
MSTRG.36428	31664
MSTRG.30119	4
MSTRG.30118	0
MSTRG.12336	1
MSTRG.15174	717
MSTRG.30111	0
MSTRG.30110	6
MSTRG.30113	79
MSTRG.30112	961
MSTRG.30115	291
MSTRG.30114	5
MSTRG.30117	303
MSTRG.6905	0
MSTRG.6906	261
MSTRG.12332	0
MSTRG.20699	130
MSTRG.20698	0
MSTRG.20693	114
MSTRG.20692	0
MSTRG.20691	0
MSTRG.20690	0
MSTRG.20697	16
MSTRG.20696	0
MSTRG.20695	0
MSTRG.20694	0
MSTRG.37301	0
MSTRG.37300	0
MSTRG.37303	333
MSTRG.28091	2845
MSTRG.28090	29
MSTRG.28093	353
MSTRG.28092	1118
MSTRG.28095	1450
MSTRG.28094	218
MSTRG.28097	129
MSTRG.28096	0
MSTRG.28099	0
MSTRG.28098	17
MSTRG.37202	318
MSTRG.37304	18335
MSTRG.25521	0
MSTRG.20529	240
MSTRG.10524	0
MSTRG.20525	1533
MSTRG.20524	3
MSTRG.20527	883
MSTRG.10525	0
MSTRG.20521	0
MSTRG.20520	65
MSTRG.20523	36
MSTRG.20522	0
MSTRG.17321	783
MSTRG.17320	11
MSTRG.17323	0
MSTRG.17322	371
MSTRG.17325	5401
MSTRG.25524	513
MSTRG.17327	1997
MSTRG.17326	1331
MSTRG.17329	432
MSTRG.17328	4
MSTRG.37207	1143
MSTRG.16050	1614
MSTRG.16051	677
MSTRG.16052	16
MSTRG.16053	0
MSTRG.16054	0
MSTRG.16055	2
MSTRG.16056	4
MSTRG.16057	47
MSTRG.16058	316
MSTRG.16059	568
MSTRG.37468	9
MSTRG.37469	173
MSTRG.25348	1859
MSTRG.25349	35
MSTRG.25342	0
MSTRG.25343	0
MSTRG.25340	743
MSTRG.25341	2961
MSTRG.37464	0
MSTRG.37465	0
MSTRG.37466	3509
MSTRG.25345	5863
MSTRG.5509	2375
MSTRG.5508	0
MSTRG.7054	0
MSTRG.5501	236
MSTRG.5500	11
MSTRG.5503	1058
MSTRG.5502	9
MSTRG.5505	0
MSTRG.5504	20
MSTRG.5507	0
MSTRG.5506	0
MSTRG.7056	73
MSTRG.2023	152
MSTRG.7050	24
MSTRG.777	0
MSTRG.2021	5
MSTRG.2020	86
MSTRG.888	3
MSTRG.889	0
MSTRG.2704	0
MSTRG.22589	15154
MSTRG.22588	8618
MSTRG.11585	328
MSTRG.11584	0
MSTRG.11583	0
MSTRG.880	0
MSTRG.11581	5
MSTRG.11580	117
MSTRG.22581	0
MSTRG.22580	4
MSTRG.22583	0
MSTRG.22582	0
MSTRG.22585	0
MSTRG.22584	0
MSTRG.11589	2740
MSTRG.11588	912
MSTRG.26699	22
MSTRG.26698	52
MSTRG.26691	0
MSTRG.26690	381
MSTRG.26693	5965
MSTRG.26692	0
MSTRG.26695	66
MSTRG.26694	148
MSTRG.26697	418
MSTRG.26696	76
MSTRG.16588	0
MSTRG.16589	0
MSTRG.16582	100
MSTRG.16583	1085
MSTRG.16580	968
MSTRG.16581	1049
MSTRG.16586	614
MSTRG.16587	2477
MSTRG.16584	116
MSTRG.16585	15
MSTRG.11059	1366
MSTRG.11058	33
MSTRG.11051	104
MSTRG.11050	422
MSTRG.11053	65
MSTRG.11052	921
MSTRG.11055	1133
MSTRG.11054	75
MSTRG.11057	46
MSTRG.11056	1222
MSTRG.9492	328
MSTRG.23186	0
MSTRG.23187	100
MSTRG.23184	0
MSTRG.23185	13
MSTRG.23182	43
MSTRG.23183	689
MSTRG.23180	125
MSTRG.23181	119
MSTRG.23188	0
MSTRG.23189	714
MSTRG.27252	2
MSTRG.15771	6
MSTRG.27250	80
MSTRG.27251	0
MSTRG.27256	520
MSTRG.27257	0
MSTRG.27254	8
MSTRG.27255	160
MSTRG.15778	115
MSTRG.15779	61
MSTRG.27258	3285
MSTRG.27259	0
MSTRG.10720	15
MSTRG.10721	396
MSTRG.10722	74
MSTRG.10723	2341
MSTRG.10724	2
MSTRG.10725	127
MSTRG.10726	223
MSTRG.10727	103
MSTRG.10728	313
MSTRG.10729	0
MSTRG.34195	0
MSTRG.11553	0
MSTRG.33696	13
MSTRG.12768	55
MSTRG.12769	1195
MSTRG.12762	17
MSTRG.12763	0
MSTRG.12760	680
MSTRG.12761	51
MSTRG.12766	3
MSTRG.12767	7309
MSTRG.12764	22592
MSTRG.12765	295
MSTRG.10898	55
MSTRG.38149	842
MSTRG.10892	173
MSTRG.38143	0
MSTRG.10890	26
MSTRG.10891	225
MSTRG.38146	707
MSTRG.10897	995
MSTRG.10894	4824
MSTRG.10895	0
MSTRG.17048	861
MSTRG.17049	0
MSTRG.33178	0
MSTRG.33179	279
MSTRG.17040	0
MSTRG.33173	35
MSTRG.33170	479
MSTRG.33171	337
MSTRG.33176	176
MSTRG.17045	0
MSTRG.17046	0
MSTRG.33175	165
MSTRG.12498	31
MSTRG.12499	193
MSTRG.12494	683
MSTRG.12495	392
MSTRG.12496	0
MSTRG.12497	54
MSTRG.12490	590
MSTRG.12491	0
MSTRG.12492	29
MSTRG.12493	33
MSTRG.13541	1452
MSTRG.2508	0
MSTRG.2509	232
MSTRG.2500	275
MSTRG.2501	69721
MSTRG.2502	2306
MSTRG.2503	133593
MSTRG.2504	2796
MSTRG.2505	1105
MSTRG.2506	73641
MSTRG.2507	84
MSTRG.3679	1095
MSTRG.30368	1
MSTRG.38142	0
MSTRG.3671	0
MSTRG.3670	0
MSTRG.3673	4
MSTRG.3672	76
MSTRG.3675	2
MSTRG.3674	3
MSTRG.3677	1693
MSTRG.3676	1398
MSTRG.20811	1255
MSTRG.20810	0
MSTRG.34152	1
MSTRG.25865	662
MSTRG.4902	0
MSTRG.4903	0
MSTRG.4900	186
MSTRG.20812	320
MSTRG.4906	43
MSTRG.4907	4
MSTRG.4904	2
MSTRG.4905	107
MSTRG.20815	4663
MSTRG.4908	46
MSTRG.4909	108
MSTRG.20814	0
MSTRG.20817	0
MSTRG.20816	0
MSTRG.8591	866
MSTRG.8590	434
MSTRG.8593	10
MSTRG.8592	13
MSTRG.8595	3256
MSTRG.771	11
MSTRG.8597	1159
MSTRG.8596	402
MSTRG.8599	14
MSTRG.8598	1056
MSTRG.778	708
MSTRG.779	159
MSTRG.33522	0
MSTRG.18179	6
MSTRG.18178	3
MSTRG.18175	2
MSTRG.18174	633
MSTRG.18177	7
MSTRG.18176	77
MSTRG.18171	0
MSTRG.18170	0
MSTRG.18173	272
MSTRG.18172	282
MSTRG.13547	0
MSTRG.1743	0
MSTRG.1742	527
MSTRG.1741	36
MSTRG.1740	0
MSTRG.1747	619
MSTRG.1746	5
MSTRG.1745	610
MSTRG.1744	0
MSTRG.1749	56
MSTRG.1748	1
MSTRG.21636	0
MSTRG.21637	193
MSTRG.21634	757
MSTRG.21635	10
MSTRG.21632	3
MSTRG.21633	953
MSTRG.21630	73
MSTRG.21631	1
MSTRG.21638	59
MSTRG.21639	331
MSTRG.9246	4429
