jg24.t1	GO:0003677
jg30378.t1	GO:0001883
jg30383.t1	GO:0015291
jg30478.t1	GO:0001883
jg30477.t1	GO:0003677
jg30475.t1	GO:0001883
jg35230.t1	GO:0001883
jg30398.t1	GO:0001883
jg12244.t1	GO:0016717
jg11708.t1	GO:0046872
jg12390.t1	GO:0016758
jg12496.t1	GO:0001883
jg11554.t1	GO:0003677
jg12251.t1	GO:0001883
jg12622.t1	GO:0003677
jg11623.t1	GO:0008168
jg11726.t1	GO:0020037
jg12015.t1	GO:0001883
jg11576.t1	GO:0016620
jg12020.t1	GO:0004659
jg11924.t1	GO:0003779
jg12233.t1	GO:0046872
jg12500.t1	GO:0015075
jg12421.t1	GO:0001883
jg11532.t1	GO:0001883
jg12347.t1	GO:0003677
jg11833.t1	GO:0016709
jg12362.t1	GO:0016301
jg11791.t1	GO:0015291
jg11636.t1	GO:0003677
jg11700.t1	GO:0008483
jg12212.t1	GO:0003723
jg11965.t1	GO:0016758
jg12575.t1	GO:0003677
jg12035.t1	GO:0003723
jg11859.t1	GO:0001883
jg12275.t1	GO:0003677
jg11496.t1	GO:0016702
jg11622.t1	GO:0001883
jg11703.t1	GO:0016615
jg12036.t1	GO:0001883
jg11996.t1	GO:0004553
jg11730.t1	GO:0016779
jg11388.t1	GO:0016620
jg12584.t1	GO:0003677
jg11518.t1	GO:0001883
jg11884.t1	GO:0016841
jg11455.t1	GO:0046872
jg11769.t1	GO:0016168
jg11738.t1	GO:0016857
jg12589.t1	GO:0016717
jg12156.t1	GO:0004842
jg12289.t1	GO:0016301
jg12513.t1	GO:0004842
jg12264.t1	GO:0046872
jg12424.t1	GO:0001883
jg11581.t1	GO:0019888
jg12294.t1	GO:0046872
jg11677.t1	GO:0001883
jg11784.t1	GO:0016635
jg11864.t1	GO:0016298
jg12446.t1	GO:0016779
jg11789.t1	GO:0003677
jg11838.t1	GO:0001883
jg12569.t1	GO:0016706
jg12471.t1	GO:0020037
jg12594.t1	GO:0042578
jg11614.t1	GO:0001883
jg11865.t1	GO:0016298
jg11886.t1	GO:0016841
jg12159.t1	GO:0003723
jg11954.t1	GO:0004553
jg11663.t1	GO:0004364
jg11959.t1	GO:0046872
jg12437.t1	GO:0004518
jg11693.t1	GO:0046872
jg12058.t1	GO:0001883
jg12295.t1	GO:0004364
jg11475.t1	GO:0008168
jg11417.t1	GO:0003723
jg12176.t1	GO:0003723
jg12080.t1	GO:0001883
jg11454.t1	GO:0046872
jg12402.t1	GO:0003723
jg11687.t1	GO:0016301
jg12132.t1	GO:0015291
jg11494.t1	GO:0016831
jg12047.t1	GO:0016747
jg12373.t1	GO:0045330
jg11932.t1	GO:0003677
jg11545.t1	GO:0003677
jg12322.t1	GO:0001883
jg12521.t1	GO:0016713
