jg24	jg24.t1	GO:0043231
jg30381	jg30381.t1	GO:0043231
jg30378	jg30378.t1	GO:0005737
jg30383	jg30383.t1	GO:0005737
jg30475	jg30475.t1	GO:0005737
jg65	jg65.t1	GO:0005737
jg35230	jg35230.t1	GO:0005737
jg30398	jg30398.t1	GO:0005737
jg12244	jg12244.t1	GO:0005737
jg11708	jg11708.t1	GO:0043231
jg12390	jg12390.t1	GO:0005635
jg12544	jg12544.t1	GO:0005737
jg12496	jg12496.t1	GO:0005737
jg12485	jg12485.t1	GO:0005737
jg11554	jg11554.t1	GO:0043231
jg12251	jg12251.t1	GO:0005737
jg12622	jg12622.t1	GO:0043231
jg12486	jg12486.t1	GO:0005737
jg11623	jg11623.t1	GO:0005737
jg11726	jg11726.t1	GO:0005737
jg12015	jg12015.t1	GO:0005737
jg11576	jg11576.t1	GO:0005737
jg12020	jg12020.t1	GO:0005737
jg12291	jg12291.t1	GO:0005737
jg11924	jg11924.t1	GO:0005737
jg12500	jg12500.t1	GO:0005737
jg12218	jg12218.t1	GO:0005737
jg12347	jg12347.t1	GO:0043231
jg11833	jg11833.t1	GO:0005737
jg11791	jg11791.t1	GO:0005737
jg11700	jg11700.t1	GO:0016021
jg12165	jg12165.t1	GO:0005737
jg11965	jg11965.t1	GO:0005737
jg12530	jg12530.t1	GO:0005737
jg11859	jg11859.t1	GO:0005737
jg12275	jg12275.t1	GO:0005737
jg11496	jg11496.t1	GO:0005737
jg12503	jg12503.t1	GO:0005737
jg11703	jg11703.t1	GO:0005737
jg12397	jg12397.t1	GO:0005737
jg12166	jg12166.t1	GO:0005737
jg11730	jg11730.t1	GO:0005737
jg11388	jg11388.t1	GO:0005737
jg11518	jg11518.t1	GO:0005737
jg11884	jg11884.t1	GO:0005737
jg11769	jg11769.t1	GO:0005737
jg11421	jg11421.t1	GO:0005737
jg11738	jg11738.t1	GO:0005737
jg12589	jg12589.t1	GO:0005737
jg11832	jg11832.t1	GO:0005737
jg12156	jg12156.t1	GO:0005737
jg12289	jg12289.t1	GO:0005737
jg12513	jg12513.t1	GO:0005737
jg12264	jg12264.t1	GO:0005737
